Long,Lat,type,name
-73.229515,42.5126488,restaurant,Coyote Den
-71.7540519,42.2740093,restaurant,Jimmy's Tavern & Grill
-71.807338,42.2712179,restaurant,The Sole Proprietor
-71.8068378,42.2709876,restaurant,Thai Time
-71.3600362,42.1667939,restaurant,Millis House of Pizza
-71.0492989,42.4172515,restaurant,Dar Hee
-71.0290401,42.3657203,restaurant,Tawakal Halal
-71.1384909,42.656218,restaurant,King's Subs
-71.1388508,42.6544926,restaurant,Bertucci's Brick Oven Restaurant
-71.5171293,42.4620979,restaurant,Nancy's Airfield Cafe
-71.1332087,42.649434,restaurant,Andover Inn
-71.4862405,42.432927,restaurant,Stow Cafe
-71.0872016,42.3940091,restaurant,Romanza Pizzaria
-71.0891003,42.3485735,restaurant,Harvard Club of Boston
-71.160331,42.3095421,restaurant,Vineripe grill
-71.2370811,42.3695411,restaurant,Solea
-71.4564992,42.469024,restaurant,Benjarong
-71.7885659,42.3357503,restaurant,O'Connors
-71.4539446,42.4736212,restaurant,Sorrento's
-72.0665949,42.1162218,restaurant,Cracker Barrel
-71.1519095,42.4147663,restaurant,Sweet Chilli
-71.151798,42.4147221,restaurant,Tango
-71.1485191,42.4113191,restaurant,Sabzi
-71.1519468,42.4151423,restaurant,Punjab
-71.1545045,42.4160738,restaurant,Pasha
-71.1440168,42.4068826,restaurant,Luigi’s Italian Kitchen
-71.1516718,42.4146399,restaurant,Chai Cafe
-71.1509963,42.4151271,restaurant,Lucky Dragon
-71.1502925,42.4144364,restaurant,Fusion Taste
-71.1515027,42.4145251,restaurant,La Buona Vista
-71.1511508,42.4142906,restaurant,Shanghai Village
-71.1411038,42.4050765,restaurant,Thailand Cafe
-71.1413318,42.4047721,restaurant,Francesca's Kitchen
-71.142542,42.4057735,restaurant,Comella's Restaurant
-71.1543586,42.4160548,restaurant,Thai Moon
-71.1553199,42.4162195,restaurant,Mr Sushi
-71.1552341,42.4162069,restaurant,Tryst
-71.1308944,42.4057609,restaurant,Guru The Caterer
-71.1189769,42.387602,restaurant,The Shaking Crab
-71.1402833,42.403979,restaurant,Arlington Diner
-71.2366904,42.5090846,restaurant,Bistro 44
-71.2350768,42.5013839,restaurant,Bamboo
-71.235197,42.5010612,restaurant,Flatbread Pizza Company
-71.7983195,42.2699851,restaurant,Maxwell Silverman's Tool House
-71.0954669,42.379816,restaurant,El Potro
-71.0981901,42.3734743,restaurant,All-Star Sandwich Bar
